phrase,context,sentiment
social greetings,"Sims 2 goes out with a bang. The ""unofficial"" word is that Apartment Life will be the final expansion pack for the Sims 2 line. I don't really know if that's true  but if so Apartment Life closes the series on an up note.  Along with Seasons and Nightlife  Apartment Life is one of my favorite expansions. I really like the apartment feature  it's been long overdue. It's so much easier now to start off a sim newly graduated from University by having them live in an apartment. It's so much easier to get them suitable living quarters.  I am so glad we finally have spiral stairs and playground equipment. They were both very much needed 4+ expansions ago.  The social townies can be kind of annoying in a way  but the reputation feature is nice. One thing I don't like is how the new social greetings will mess up the greetings from locals at the Bon Voyage vacation neighborhoods. It's very rare now for my locals to do their normal greetings  instead they do the new social ones and my vacationing sims have a harder time of meeting the ""learn local greeting"" want without cheating on my part. But it's a minor frustration.  Witches are pretty interesting. I like the neutral spells but some of the evil and good witch spells are kind of blah. Plus  I'm really not into the skin overlays with the evil and good witches. I don't like the green or sparkly skin so I use a mod to stop it. But overall I do like the witches and am glad we have them. They're the only paranormal creature in the Sims 2 line I've had more than a passing interest in.  Apartment Life is a great EP and given the choice I'd gladly buy it again. I think it will keep my creativity & gameplay with Sims 2 going for a very long time.",0
just want I didn't know I needed,Great addition  makes touch more responsive. Love it  just want I didn't know I needed.,0
son's fav Christmas gift,My son's fav Christmas gift. My teenaged son loves this game. It was his fav Christmas gift. Any Pokemon fans will enjoy it.,1
sulfate free,Just as good as the named brands at a reduced cost!. I get keratin treatments for my hair probably 3 times a year. As such  I always have to use shampoos and conditioners that are sulfate free. Typically  most of the products I use are expensive  so I was looking for an alternative. I absolutely love this Amazon Brand product. Just as good as using a  more expensive salon brand  this shampoo leaves my hair soft and smooth and because its paraben and sulfate free  I  can keep it that way at much less cost. Kudos Amazon for creating another great generic product which is just as great as the named brand products. Oh  and I love the fragrance of this Argan Oil  too!,1
quick shipment,One of the greatest string quartets of all time.. Like  new even though it is 30years old.  Well packaged with quick shipment.  One of the best of all time string quartets.,1
light weight,Light Weight. We love to decorate for Halloween. This skeleton will be a fun addition to our yard display this season. He does require some assembly. It's easy though and just a matter of sliding a piece or two into place. He's very light weight. He has a sturdy rope attached to him for hanging. And since it's light weight  I don't expect any problems with him weighing down a branch or whatever we use to hang him on. He is a good size. He's a short adult size. His arms are easy to pose. I'm not convinced that he's very durable and long lasting  but I feel confident that he should last a few Halloweens.,1
great little creamers,My favorite coffee creamer. These are great little creamers  but I’d like to buy a large size  i don’t need the tiny ones…,1
Buying it in this large size saves money.,Best Motor Oil. Pennzoil is the only motor oil we have ever used.  Buying it in this large size saves money.,1
quite a few different types of chews,Great deal!. I ordered the small/medium box and my dogs love everything in it. I didn’t count how many pieces were in it before giving them to my dogs but there were quite a few different types of chews. If bought separately the individual pieces would have cost at least twice what this subscription box cost. My dogs and I are vey happy with this purchase!,1
fast read,Very fast and fun read. I was given this book for free  and my review is voluntary. This is the first book that I have read from this author. I have fallen in love with this series! It is well written. The lead female character ( July) is fast thinking and fun. The casino resort security head is sexy ...and single until he meets July and in a very dangerous situation. Even tho this is a novella that takes place in just one night  it has so much fast action in it. As you read it you can feel the excitement in the story. Good and fun read that I would highly recommend to everyone. Can't wait to read more of this series,1
no power lite,poor design. Poor design- speakers fire up & down in relation to ipod or only one speaker fires at you at 90* rotation. No power lite so easy to forget its on  low volume and tinny at max input. OK for a quiet environment but even low background noise will wash it out. Keep looking- there are better front firing units here for about $10 more- very well worth spending the extra money.,0
sounds I could get from this on my first try,I love this ocarina! So pretty and easy to use. The manual is very helpful!. Love this will practice til I can get Saria's song and Song of Storms at the very least! (Was a little dissapointed that last one wasn't on the music sheet). I am so glad with the sounds I could get from this on my first try though! I had another ocarina but it wasn't a 12 hole it was a 6 hole I believe and I had trouble getting nice sounds from it it felt a lot different from this one! I am truly in love the design is so good and pretty I did find a few spots that weren't very well painted though but overall I am totally in love with my new Ocarina &#603,1
difficulties keeping all of the contestants straight,Fun Premise. I am mildly obsessed with reality TV shows. I watch a few big series  but I love learning about the behind the scenes stuff. This story is about a woman who signs up to be on a reality dating show. She expects it to be like all the other shows where they live in a beautiful mansion and everyone has a beautiful designer wardrobe. However  in an effort to make it more &#34real&#34  the setting is in an old  dumpy apartment complex and they are given a thrift store wardrobe. It was a funny  light read. I enjoyed all the behind the scenes action that showed how unreal a lot of the reality show activities were. I did have a little difficulties keeping all of the contestants straight in the beginning. I'm not sure what could have been done differently to keep that from happening. I read it over the course of two days. Anyway...it was a fun  entertaining story.,0
local stores only carry them seasonally,As advertised.. Husband bought for greenhouse and reports they work great and as expected.  They are one of those things you need extras of apparently and the local stores only carry them seasonally.  So Amazon to the rescue!,0
bottle is a clear blue,"Great non alcoholic nose burn when you smell it!. I love how different this smells on everyone. It shows a male jumping up on the box but I honestly think it could be for everyone. It is not a ""perfume "" scent.. It is an ""earth"" scent. On me  a female  it smells like a woodsy outdoorsy scent..one my 18 yr old grson he described it as an ""earthy orange"" scent!  The bottle is a clear blue that reminds you of the ocean..which is great because the name is ""sea""  I really love this unusual scent!",1
great price,I love Snuggle - only brand I use. I exclusively use Snuggle as my brand of choice in fabric softeners. Not only is economical to use (a little goes a long way in my HE machine)  but my clothes come out soft and smelling wonderful. When used on my bedding  I can smell the fresh scent days into use. I highly recommend Snuggle for everyone. Great size product  great price and the best on the market when it comes to softening and freshening everything.,1
gift for 11yr old,Totally worth the money and cute AF. Totally adorable and will be a gift for my 11yr old  she will love it!,1
comfortable,Nice Cotton Boxer Briefs. These have nearly everything I look for in boxer briefs.  They are tagless  comfortable  nice fitting  and look nice.  The only thing that is missing is a fly hole which is a bit annoying  but forgiveable if everything else is good.  And everything else is good.  I have put two through the wash and they look good and given the quality feel of them  I would expect that they will last well.,1
not as good as Euphoria,Best Def Leppard cd in 16 years.. Upon first listen I'm pretty underwhelmed by the guitar solos.  Some of these songs really could of used a Killer solo but ended up with instantly forgettable barely existent weak solos instead.  The songs on the other hand are much better.  Early faves are Dangerous  Sea of Love and All Time High (nice solo). It's their best cd since Euphoria   but it's not as good as Euphoria(IMO Euphoria is around 5th or 6th best Leppard cd). Definitely better than sparkle. I give it 4 /5 stars. Let's Go is good too but borrows too heavily from Sugar.,0
cats LOVE them.,I was negative about these originally because of the HUGE Shipping price  BUT.... now that the almost $20 shipping charge has been corrected from what showed on my Amazon screen to a very reasonable amount   I am VERY happy with them and my cats LOVE them.,1
Perfect,It IS Perfect!!. I'm 62 and love this primer. That's why I'm here searching for more. If the price is right I may pick up a couple more for stocking stuffers.,1
